ID,NAME,variable,estimate
01001020100,United States,B01001_001,1993
01001020200,United Kingdom,B01001_001,1959
01001020300,United Arab Emirates,B01001_001,3507
01001020400,Canada,B01001_001,3878
01001020500,Brazil,B01001_001,10596
01001020600,China,B01001_001,3668
01001020700,Pakistan,B01001_001,3586
01001020801,Russia,B01001_001,3196
01001020802,Australia,B01001_001,11142
01001020900,Turkey,B01001_001,6143
01001020100,United States,B01001_002,907
01001020200,United Kingdom,B01001_002,1058
01001020300,United Arab Emirates,B01001_002,1731
01001020400,Canada,B01001_002,1949
01001020500,Brazil,B01001_002,5256
01001020600,China,B01001_002,1677
01001020700,Pakistan,B01001_002,1627
01001020801,Russia,B01001_002,1567
01001020802,Australia,B01001_002,5315
01001020900,Turkey,B01001_002,3123
01001020100,United States,B01001_026,1086
01001020200,United Kingdom,B01001_026,901
01001020300,United Arab Emirates,B01001_026,1776
01001020400,Canada,B01001_026,1929
01001020500,Brazil,B01001_026,5340
01001020600,China,B01001_026,1991
01001020700,Pakistan,B01001_026,1959
01001020801,Russia,B01001_026,1629
01001020802,Australia,B01001_026,5827
01001020900,Turkey,B01001_026,3020
